Date,RELIANCE.NS_close,ADANIPOWER.NS_close,returns,mean,zscore,longs,shorts,exits,long_market,short_market,ret_RELIANCE.NS,ret_ADANIPOWER.NS,RELIANCE.NS,ADANIPOWER.NS,total
2022-07-12,2404.690185546875,292.75,2.1058573507854694,2.237283017358069,,0.0,0.0,0.0,0.0,0.0,,,,,
2022-07-13,2362.0693359375,286.6499938964844,2.109031413022266,2.236171960721215,,0.0,0.0,0.0,0.0,0.0,-1.7724050218836052,-2.083691239458796,-0.0,0.0,0.0
2022-07-14,2381.541748046875,283.70001220703125,2.127585965392256,2.2332490504510543,,0.0,0.0,0.0,0.0,0.0,0.8243793614824746,-1.0291232346994028,0.0,0.0,0.0
2022-07-15,2386.16162109375,286.75,2.1188305816107085,2.228071149341674,,0.0,0.0,0.0,0.0,0.0,0.1939866496425635,1.0750749600754395,0.0,-0.0,0.0
2022-07-18,2406.478515625,289.8500061035156,2.1165561922161924,2.2245868348482265,,0.0,0.0,0.0,0.0,0.0,0.851446706360881,1.081083209595679,0.0,-0.0,0.0
2022-07-19,2421.231689453125,293.3500061035156,2.110665196079017,2.2200634879578667,,0.0,0.0,0.0,0.0,0.0,0.6130606914765302,1.2075211061924218,0.0,-0.0,0.0
2022-07-20,2486.70263671875,289.8999938964844,2.149176854719731,2.216615736666789,,0.0,0.0,0.0,0.0,0.0,2.7040347914995655,-1.1760736782851278,0.0,0.0,0.0
2022-07-21,2470.111328125,294.0,2.1284387333830086,2.211953569603352,,0.0,0.0,0.0,0.0,0.0,-0.6672011501802411,1.4142829216407637,-0.0,-0.0,-0.0
2022-07-22,2486.80224609375,291.29998779296875,2.144399303541176,2.2079471523582366,,0.0,0.0,0.0,0.0,0.0,0.675715210837069,-0.9183714989902225,0.0,0.0,0.0
2022-07-25,2404.640380859375,291.70001220703125,2.109429722849396,2.201715120915258,,0.0,0.0,0.0,0.0,0.0,-3.3039163191779464,0.13732386914715455,-0.0,-0.0,-0.0
2022-07-26,2405.7333984375,297.70001220703125,2.0895237744019193,2.1953143411850164,,0.0,0.0,0.0,0.0,0.0,0.04545451314987847,2.0569076958905086,0.0,-0.0,0.0
2022-07-27,2403.4482421875,312.45001220703125,2.0402152573073606,2.1883440354801253,,0.0,0.0,0.0,0.0,0.0,-0.09498792557330882,4.954652131402115,-0.0,-0.0,-0.0
2022-07-28,2441.1015625,321.95001220703125,2.0258083845506936,2.179762832091873,,0.0,0.0,0.0,0.0,0.0,1.566637452455799,3.0404863590484554,0.0,-0.0,0.0
2022-07-29,2493.110595703125,313.95001220703125,2.072052668593606,2.172590866670668,,0.0,0.0,0.0,0.0,0.0,2.1305558933754964,-2.484857802973328,0.0,0.0,0.0
